customer_id,full_name,email,country,join_date,segment,is_active
1,Allison Hill,allisonhill_1@example.com,United Kingdom,2022-02-21,retail,True
2,Noah Rhodes,noahrhodes_2@example.com,Canada,2022-07-29,retail,True
3,Angie Henderson,angiehenderson_3@example.com,United Kingdom,2024-05-14,retail,True
4,Daniel Wagner,danielwagner_4@example.com,Germany,2024-10-31,retail,True
5,Cristian Santos,cristiansantos_5@example.com,Japan,2024-05-09,retail,True
6,Connie Lawrence,connielawrence_6@example.com,United States,2022-11-23,retail,True
7,Abigail Shaffer,abigailshaffer_7@example.com,Canada,2023-03-17,premium,True
8,Gina Moore,ginamoore_8@example.com,United Kingdom,2024-02-18,retail,True
9,Gabrielle Davis,gabrielledavis_9@example.com,Brazil,2023-06-26,business,True
10,Ryan Munoz,ryanmunoz_10@example.com,Japan,2022-09-13,premium,True
11,Monica Herrera,monicaherrera_11@example.com,Japan,2023-08-24,business,True
12,Jamie Arnold,jamiearnold_12@example.com,Australia,2023-01-29,retail,True
13,Lisa Hensley,lisahensley_13@example.com,Germany,2023-08-16,premium,True
14,Michele Williams,michelewilliams_14@example.com,United Kingdom,2024-02-18,retail,True
15,Dylan Miller,dylanmiller_15@example.com,Australia,2022-11-30,retail,True
16,Brian Ramirez,brianramirez_16@example.com,France,2022-05-27,retail,True
17,Holly Wood,hollywood_17@example.com,Germany,2022-12-01,retail,True
18,Derek Zuniga,derekzuniga_18@example.com,Japan,2023-03-26,retail,True
19,Lisa Jackson,lisajackson_19@example.com,United States,2023-04-15,business,True
20,Carla Gray,carlagray_20@example.com,Singapore,2023-07-03,retail,False
21,Margaret Hawkins DDS,margarethawkinsdds_21@example.com,Brazil,2023-10-07,retail,True
22,Patty Perez,pattyperez_22@example.com,India,2022-10-20,retail,True
23,Ethan Adams,ethanadams_23@example.com,Japan,2023-06-23,retail,True
24,Tommy Walter,tommywalter_24@example.com,Brazil,2024-03-28,retail,False
25,Matthew Foster,matthewfoster_25@example.com,Canada,2024-11-09,retail,True
26,Judy Baker,judybaker_26@example.com,United Kingdom,2022-11-10,retail,True
27,Justin Baker,justinbaker_27@example.com,Singapore,2022-05-11,retail,True
28,Stephanie Ross,stephanieross_28@example.com,India,2024-12-19,retail,True
29,Zachary Hicks,zacharyhicks_29@example.com,United States,2022-08-23,retail,True
30,Anthony Rodriguez,anthonyrodriguez_30@example.com,France,2023-11-28,retail,True
31,Rebecca Henderson,rebeccahenderson_31@example.com,India,2022-01-07,premium,True
32,James Ferrell,jamesferrell_32@example.com,France,2024-10-22,retail,True
33,Tricia Valencia,triciavalencia_33@example.com,United Kingdom,2023-09-04,business,True
34,Nathan Maldonado,nathanmaldonado_34@example.com,Germany,2022-11-10,retail,True
35,Debra Davidson,debradavidson_35@example.com,Japan,2022-01-02,retail,True
36,Jeffrey Chavez,jeffreychavez_36@example.com,United Kingdom,2024-01-14,business,True
37,Sherri Baker,sherribaker_37@example.com,France,2023-05-06,retail,True
38,Cassandra Gaines,cassandragaines_38@example.com,United Kingdom,2022-06-25,retail,True
39,Elizabeth Fowler,elizabethfowler_39@example.com,Japan,2022-09-15,retail,True
40,Brittany Farmer,brittanyfarmer_40@example.com,Japan,2022-12-05,retail,True
41,Paula Moreno,paulamoreno_41@example.com,Singapore,2023-03-10,business,True
42,Fred Smith,fredsmith_42@example.com,Germany,2023-10-01,retail,True
43,Sherry Decker,sherrydecker_43@example.com,Australia,2024-06-16,business,True
44,Anthony Humphrey,anthonyhumphrey_44@example.com,Germany,2023-04-06,retail,True
45,Angelica Tucker,angelicatucker_45@example.com,Japan,2023-04-17,retail,True
